Training Set,,,
,,pKi,
Number,SMILES,Experimental,Predicted
51,O=C1[C@H](c2ccccc2N1C3CC[N+]([C@H]4Cc5ccccc5CC4)CC3)CC,8,8
52,C[N+]1Cc2ccccc2C[C@@H]1C[N+]3CCC4(CC3)c5ccccc5CC4,7.2,7.2
53,O(c1ccc(C[N+]2CCC(CC2)c3c[nH]c4c3cccn4)cc1)c5ccccc5,6.5,6.4
54,Fc1ccc(N2C[C@H]3C[N+](C[C@H]3C42CC[N+](C5CCC(CC5)C(C)C)CC4)CC6CC6)cc 1,6.2,6.4
55,O=C(N(CC)C)C1(CC[N+](CC1)CCCCCC)c2cccc(O)c2,8.4,8.4
56,OCC1([N+]2CCC(N3C(=O)Nc4ccccc43)CC2)CCCCCCC1,7.8,7.8
57,Clc1ccc(O)c2c1C[C@H]([N+]C2)C[N+]3CCC(CC3)c4ccc(F)cc4C,6.4,6.4
58,O=C(N1c2ccccc2C[C@H]1C(=O)N(C)C)CC[N+]3CCC([N+]4CCCCC4)CC3,6.4,6.3
59,O=C1[C@H](c2ccccc2N1C3CC[N+]([C@H]4c5ccccc5CCC4)CC3)CC,9,9
60,OCC1([N+]2CCC(n3c4ccccc4nc3N5CC[N+](CC5)C)CC2)CCCCCCC1,6.6,6.7
61,O=C(OC)[C@]1(N(c2ccccc2)C(=O)CC)CC[N+](C[C@H]1C)CCc3ccccc3,9.9,9.8
62,O=C(N1Cc2ccccc2C[C@@H]1C[N+]3CCC4(CC3)c5ccccc5CC4)C,7.1,7.3
63,CC(C1CCC([N+]2CCC3([C@@H]4CN(C[C@@H]4CN3c5ccccc5)c6ccccc6)CC2)CC1)C,6.9,6.8
64,O1c2ccccc2C[C@H](C[N+]3CCC4(CC3)c5ccccc5CC4)C1,7.3,7.2
65,CC(C1CCC([N+]2CCC3([C@@H]4C[N+](C[C@@H]4CN3c5ccccc5)Cc6ccccc6)CC2)CC1 )C,6.8,6.9
66,CC1([N+]2CCC(n3c4ccccc4nc3N5C[C@@H]([N+][C@@H](C5)C)C)CC2)CCCCCCC1,7.7,7.7
67,Clc1c(F)ccc(-c2nc3ccccc3n2C4CC[N+](C5(CCCCC5)CO)CC4)c1,6.4,6.4
68,O=C1[C@@H](c2ccccc2N1C3CC[N+](C4CCC(CC4)C(C)C)CC3)C,8.4,8.4
69,FCCCCC[N+]1CCC(N(C(=O)CC)c2ccccc2)CC1,7.9,7.9
70,Oc1cccc2c1C[N+][C@@H](C[N+]3CCC4(CC3)c5ccccc5CC4)C2,6.5,6.6
71,N/C(=[N+]\c1ccc2c(nc(n2C3CC[N+](CC3)C)Cc4ccc(OCC)cc4)c1)c5cccs5,5.5,5.5
72,O=C1[C@H](c2ccccc2N1C3CC[N+](C4CCC(CC4)C(C)C)CC3)CC,9,9
73,O=C1[C@@H](c2ccccc2N1C3CC[N+]([C@H]4c5cccc6CCC[C@H](c65)CC4)CC3)CC,8.8,8.8
74,O=C1Cc2ccccc2N1C3CC[N+](C4CCC(CC4)CCC)CC3,8.3,8.2
75,CC1([N+]2CCC(n3c(nc4ccccc43)-c5cc6ccccc6o5)CC2)CCCCCCC1,7,7
76,Clc1cccc2c1[nH]cc2C3CC[N+]([C@H]4c5cccc6cccc(C4)c65)CC3,6.6,6.5
77,OCC1([N+]2CCC(n3c4ccccc4nc3N5CC[N+][C@@H](C5)C)CC2)CCCCCCC1,6.4,6.4
78,CC(C1CCC([N+]2CCC3([C@@H]4C[N+]C[C@@H]4CN3c5ccccc5)CC2)CC1)C,6.3,6.3
79,Fc1ccc2c(c(C3CC[N+](CC4CCCCCCC4)CC3)cn2C[C@H](O)C[N+](C)C)c1,5.6,5.5
80,O=C(NCC1(Nc2cccc3ccccc32)CC[N+](CC1)Cc4ccccc4)CNC(N)=[N+],5.7,5.7
81,Fc1ccc2c(c(C3CC[N+]([C@H]4c5cccc6cccc(C4)c65)CC3)c[nH]2)c1,6.3,6.3
82,O=C1Cc2ccccc2N1C3CC[N+](C4CCCCCCC4)CC3,7.5,7.7
83,Cn1c2c(c(C3CC[N+]([C@H]4c5cccc6cccc(C4)c65)CC3)c1)cccn2,6.1,6
84,CC1([N+]2CCC(n3c(nc4ccccc43)-c5ccc6cc[nH]c6c5)CC2)CCCCCCC1,6.8,6.8
85,Fc1ccc(C2CC[N+](CC2)CCC(=O)N3c4ccccc4C[C@H]3C(=O)N(C)C)cc1,6.6,6.6
86,CC1([N+]2CCC(n3c4ccccc4nc3[C@H]5CCC[N+](C5)C)CC2)CCCCCCC1,8,7.9
87,[N+]1(CC2CCCCCCC2)CCC(CC1)c3c[nH]c4c3cccn4,5.7,5.7
